headline,body,location,time_published
Chinese astronauts blast off to space station as construction enters high gear,"China sent three astronauts on Sunday on a six-month long mission to oversee a pivotal period of construction of its space station, whose final modules are due to be launched in the coming months.",Science and Tech,"05 Jun, 2022 "
China to launch next crewed mission on Sunday to build space station,"China will launch a spacecraft on Sunday carrying three astronauts to the core module of the unfinished Chinese space station, where they will work and live for six months as construction enters advanced stages.",Science and Tech,"04 Jun, 2022 "
Dusty demise for NASA Mars lander in July; power dwindling,"A NASA spacecraft on Mars is headed for a dusty demise. The Insight lander is losing power because of all the dust on its solar panels. NASA said Tuesday it will keep using the spacecraft's seismometer to register marsquakes until the power peters out, likely in July. Then flight controllers will monitor InSight until the end of this year, before calling everything off.",Science and Tech,"18 May, 2022 "
Chariot of Pearl: Lunar eclipse and blood moon,Chariot of Pearl: Lunar eclipse and blood moon,Science and Tech,"16 May, 2022 "
"In one giant leap for Earth plants, seeds are grown in moon soil",Scientists for the first time have grown seeds in soil from the moon - samples retrieved during NASA missions in 1969 and 1972 - in an achievement that heralds the promise of using earthly plants to support human outposts on other worlds.,Science and Tech,"13 May, 2022 "
Scientists unveil image of 'gentle giant' black hole at Milky Way's center,"Scientists on Thursday provided the first look at the ""gentle giant"" lurking at the center of our Milky Way galaxy - an image of a supermassive black hole that devours any matter within its huge gravitational pull but is currently on a bit of a diet.",Science and Tech,"13 May, 2022 "
Space telescope in home stretch of tests; early pics impress,"NASA's new space telescope is in the home stretch of testing, with science observations expected to begin in July, astronomers said Monday.",Science and Tech,"11 May, 2022 "
Black hole hunters cast gaze at center of the Milky Way galaxy,"​​​​​​​Residing at the center of our spiral-shaped Milky Way galaxy is a beast - a supermassive black hole possessing 4 million times the mass of our sun and consuming any material including gas, dust and stars straying within its immense gravitational pull.",Science and Tech,"11 May, 2022 "
SpaceX launches 4 astronauts for NASA after private flight,"SpaceX launched four astronauts to the International Space Station for NASA on Wednesday, less than two days after completing a flight chartered by millionaires.",Science and Tech,"27 Apr, 2022 "
Surprised astronomers find new type of star explosion - a micronova,Astronomers have detected a previously unknown type of stellar explosion called a micronova involving thermonuclear blasts at the polar regions of a type of burned-out star called a white dwarf after it has siphoned material from a companion star.,Science and Tech,"21 Apr, 2022 "
Europa's similarity to Greenland hints that Jupiter moon could harbor life,The uncanny resemblance between features on Europa's frozen surface and a landform in Greenland that sits atop a sizable pocket of water are providing intriguing new indications that this moon of Jupiter may be capable of harboring life.,Science and Tech,"20 Apr, 2022 "
The forecast on planet Neptune is chilly - and getting colder,"Frigid and far-flung Neptune, our solar system's outermost planet, is adding to its reputation as an enigmatic world, with astronomers puzzled by a surprising drop in its atmospheric temperatures during the past two decades.",Science and Tech,"15 Apr, 2022 "
Earliest-known galaxy offers clues about the primordial universe,"Astronomers have discovered what may be the earliest and most distant galaxy ever observed, one that formed relatively soon after the Big Bang event that marked the origin of the universe and may be populated by the novel first generation of stars.",Science and Tech,"08 Apr, 2022 "
Gigantic Jupiter-like alien planet observed still 'in the womb',Scientists have observed an enormous planet about nine times the mass of Jupiter at a remarkably early stage of formation - describing it as still in the womb - in a discovery that challenges the current understanding of planetary formation.,Science and Tech,"06 Apr, 2022 "
Russia says cooperation in space only possible once sanctions are lifted,Russia's space director said on Saturday that the restoration of normal ties between partners at the International Space Station (ISS) and other joint space projects would be possible only once Western sanctions against Moscow are lifted.,Science and Tech,"02 Apr, 2022 "
"Twinkle, twinkle giant star, astronomers see how far you are","Astronomers have discovered the farthest star yet, a super-hot, super-bright giant that formed nearly 13 billion years ago at the dawn of the cosmos.",Science and Tech,"31 Mar, 2022 "
Himalayan Climate Boot Camp 2022 taking science journalists to unchartered heights,"Eight environment journalists from Nepal, India and Bangladesh will be part of an expedition to the Everest region to attend a climate change boot camp that will enable nuanced science reporting from the tough and underreported terrain.",Science and Tech,"28 Mar, 2022 "
Russia to work on solo Mars mission after Europe freezes joint project: Interfax,"Russia will start work on its own Mars mission given that the European Space Agency (ESA) has suspended a joint project in the wake of the Ukraine invasion, Interfax news agency quoted a top official as saying on Friday.",Science and Tech,"19 Mar, 2022 "
Russian cosmonauts set for Friday launch to International Space Station,"Three Russian cosmonauts were due for launch on Friday to the International Space Station (ISS), continuing a two-decade-plus shared Russian-U.S. presence aboard the orbiting outpost despite heightened terrestrial tensions between Moscow and Washington.",Science and Tech,"18 Mar, 2022 "
"No European Mars mission this year, due to war in Ukraine","Because of Russia's invasion of Ukraine, Europe is going to have to wait at least several more years and may need NASA's help before its first planned Mars rover can drill into the planet's dusty surface, seeking signs of whether it ever hosted life.",Science and Tech,"18 Mar, 2022 "
Space telescope's image of star gets photobombed by galaxies,NASA's new space telescope has gazed into the distant universe and shown perfect vision: a spiky image of a faraway star photobombed by thousands of ancient galaxies.,Science and Tech,"17 Mar, 2022 "
"Space junk on 5,800-mph collision course with moon","The moon is about to get walloped by 3 tons of space junk, a punch that will carve out a crater that could fit several semitractor-trailers.",Science and Tech,"02 Mar, 2022 "
Stellar 'vampire' finds love at first bite with companion star,"Astronomers have gotten a good look at what happens when a ""vampire"" star sucks the outer layers of material from a companion star, stripping this ""bitten"" victim down to a mere stellar core.",Science and Tech,"02 Mar, 2022 "
"Meteorites from Mars, outer space land on Christie's auction block","Meteorites are striking gold among collectors, with a dilapidated dog house that survived a hit from outer space expected to fetch up to $300,000 at a Christie's auction, and a chunk of Mars going for as much as $800,000.",Science and Tech,"23 Feb, 2022 "
New observations help explain universe's most energetic objects,Observations showing a roughly donut-shaped cloud of cosmic dust and gas shrouding a huge black hole at the heart of a galaxy similar in size to our Milky Way are providing scientists with new clarity about the universe's most energetic objects.,Science and Tech,"17 Feb, 2022 "
"NASA's new space telescope sees 1st starlight, takes selfie","NASA's new space telescope has captured its first starlight and even taken a selfie of its giant, gold mirror.",Science and Tech,"12 Feb, 2022 "
Solar storm knocks out 40 newly launched SpaceX satellites,"A geomagnetic storm triggered by a large burst of radiation from the sun has disabled least 40 of the 49 satellites newly launched by SpaceX as part of its Starlink internet communications network, the company said.",Science and Tech,"10 Feb, 2022 "
"Hitchhiking in Earth's orbit, asteroid may be with us for 4,000 years","An asteroid that was discovered riding along in Earth's orbit is about three-quarters of a mile (1.2 km) wide and might remain as a hitchhiker with our planet for at least 4,000 more years while posing no danger, scientists said on Tuesday.",Science and Tech,"02 Feb, 2022 "
Scientists amazed by blinking star's 'totally unexpected' behavior,Scientists have detected what appears to be an incredibly dense star behaving unlike anything else ever seen - and suspect it might be a type of exotic astrophysical object whose existence has until now been only hypothesized.,Science and Tech,"28 Jan, 2022 "
China to strengthen space governance over next five years - white paper,"China said it will strengthen its governance in space over the next five years to better protect its assets and interests, including the study of plans to build a near-earth object defence system and cooperation with other nations.",Science and Tech,"28 Jan, 2022 "
"Toyota heading to moon with cruiser, robotic arms, dreams","Toyota is working with Japan's space agency on a vehicle to explore the lunar surface, with ambitions to help people live on the moon by 2040 and then go live on Mars, company officials said Friday.",Science and Tech,"28 Jan, 2022 "
NASA's new space telescope reaches destination in solar orbit,"NASA's James Webb Space Telescope, designed to give the world an unprecedented glimpse of infant galaxies in the early stages of the universe, arrived at its gravitational parking spot in orbit around the sun on Monday, nearly a million miles from Earth.",Science and Tech,"25 Jan, 2022 "
NASA begins process of bringing new space telescope into focus,"NASA on Wednesday embarked on a months-long, painstaking process of bringing its newly launched James Webb Space Telescope https://www.reuters.com/lifestyle/science/nasas-revolutionary-new-space-telescope-due-launch-french-guiana-2021-12-25 into focus, a task due for completion in time for the revolutionary eye in the sky to begin peering into the cosmos by early summer.",Science and Tech,"14 Jan, 2022 "
Study nixes Mars life in meteorite found in Antarctica,"A 4 billion-year-old meteorite from Mars that caused a splash here on Earth decades ago contains no evidence of ancient, primitive Martian life after all, scientists reported Thursday.",Science and Tech,"14 Jan, 2022 "
"Space telescope's 'golden eye' opens, last major hurdle","NASA's new space telescope opened its huge, gold-plated, flower-shaped mirror Saturday, the final step in the observatory's dramatic unfurling.",Science and Tech,"10 Jan, 2022 "
NASA nails trickiest job on newly launched space telescope,"NASA aced the most complicated, critical job on its newly launched space telescope Tuesday: unrolling and stretching a sunshade the size of a tennis court.",Science and Tech,"06 Jan, 2022 "
NASA's new space telescope 'hunky-dory' after problems fixed,"NASA’s new space telescope is on the verge of completing the riskiest part of its mission — unfolding and tightening a huge sunshade — after ground controllers fixed a pair of problems, officials said Monday.",Science and Tech,"04 Jan, 2022 "
Space telescope launched on daring quest to behold 1st stars,The world’s largest and most powerful space telescope rocketed away Saturday on a high-stakes quest to behold light from the first stars and galaxies and scour the universe for hints of life.,Science and Tech,"25 Dec, 2021 "
EXPLAINER: Veteran Hubble vs. new Webb space telescope,"With NASA and the European Space Agency's Hubble pushing 32 years in orbit, the bigger, 100 times more powerful Webb is widely viewed as its successor even though the two are vastly different. Its liftoff is slated for Saturday morning from the coast of South America.",Science and Tech,"25 Dec, 2021 "
NASA's revolutionary new space telescope due for launch from French Guiana,"The powerful infrared telescope, hailed by NASA as the premiere space-science observatory of the next decade, was packed inside the cargo bay of an Ariane 5 rocket poised for blastoff at 7:20 a.m. EST (1220 GMT) from the European Space Agency's (ESA) launch base in French Guiana.",Science and Tech,"25 Dec, 2021 "
Launch of NASA's new space telescope delayed until Christmas Day,"Liftoff of NASA's James Webb Space Telescope, designed to peer farther than ever into the universe, has been delayed until Christmas Day at the earliest, due to poor weather at the launch site on South America's northeastern coast, the space agency said on Tuesday.",Science and Tech,"23 Dec, 2021 "
"NASA craft 'touches' sun for 1st time, dives into atmosphere","A NASA spacecraft has officially ""touched"" the sun, plunging through the unexplored solar atmosphere known as the corona.",Science and Tech,"15 Dec, 2021 "
Webb telescope launch delayed by communication problem: NASA,Next week's launch of NASA's new space telescope is delayed for at least two days because of a communication problem between the observatory and the rocket.,Science and Tech,"15 Dec, 2021 "
NASA's Webb telescope promises an 'amazing journey' for astronomy,"It was finished years late at a cost far higher than planned, but NASA's James Webb Space Telescope due for launch next week may usher in a new era in astronomy as it gathers information on the universe's earliest stages, star formation, and whether planets beyond our solar system may be suitable for life.",Science and Tech,"15 Dec, 2021 "
Geminid meteor shower to peak on Tuesday night,"Geminid meteor shower, which is considered to be one of the major meteor showers, is all set to peak on December 14-15 in our corner of the world.",Science and Tech,"13 Dec, 2021 "
"No more commercial astronaut wings, too many launching: FAA","Heads up, future space travelers: No more commercial astronaut wings will be awarded from the Federal Aviation Administration after this year.",Science and Tech,"11 Dec, 2021 "
'The internet's on fire' as techs race to fix software flaw,A critical vulnerability in a widely used software tool — one quickly exploited in the online game Minecraft — is rapidly emerging as a major threat to organizations around the world.,Science and Tech,"11 Dec, 2021 "
Footprints show some two-legged dinosaurs were agile,An analysis of dinosaur tracks from 120 million years ago unearthed in Spain adds to growing evidence that these meat-eating prehistoric beasts belonging to the same group as Tyrannosaurus rex could be highly agile.,Science and Tech,"10 Dec, 2021 "
Comet Leonard visible in earth's sky dome early morning in this first half of December,"Comet Leonard is now in bloom, in December, and people in Nepal can see it too in the morning sky until it is lost to the sun glaze next month.",Science and Tech,"09 Dec, 2021 "
"Chinese sighting of 'cube' on moon rouses speculation, inspires memes",A photograph of a cube-like object captured by a Chinese rover on the far side of the moon has fanned speculation over what it could be and inspired a host of memes by Chinese internet users.,Science and Tech,"08 Dec, 2021 "
"Space junk forces spacewalk delay, too risky for astronauts",NASA called off a spacewalk Tuesday because of menacing space junk that could puncture an astronaut's suit or damage the International Space Station.,Science and Tech,"01 Dec, 2021 "
NASA launches test mission of asteroid-deflecting spacecraft,"A spacecraft that must ultimately crash to succeed was launched late on Tuesday from California on a NASA mission to demonstrate the world's first planetary defense system, designed to deflect an asteroid from a potential doomsday collision with Earth.",Science and Tech,"24 Nov, 2021 "
Longest partial lunar eclipse to be witnessed Friday,"The longest partial lunar eclipse since the 15th century is can be witnessed this week, on Friday.",Science and Tech,"18 Nov, 2021 "
Russia rejects accusations of endangering ISS astronauts,"Russian officials on Tuesday rejected accusations that they endangered astronauts aboard the International Space Station by conducting a weapons test that created more than 1,500 pieces of space junk but a White House official said the move by Russia would threaten activities in space ""for years to come.""",Science and Tech,"17 Nov, 2021 "
Russian anti-satellite missile test endangers space station crew - NASA,"An anti-satellite missile test Russia conducted on Monday generated a debris field in low-Earth orbit that endangered the International Space Station and will pose a hazard to space activities for years, US officials said.",Science and Tech,"16 Nov, 2021 "
IBM says quantum chip could beat standard chips in two years,International Business Machines on Monday said it has designed a new quantum computing chip that its executives believe will let quantum systems start to outperform classical computers at some tasks within the next two years.,Science and Tech,"15 Nov, 2021 "
Nepali space physicist makes breakthrough study on Earth's upper atmosphere at University of Alaska,"A Nepali student working at the University of Alaska Geophysical Institute, Rajan Itani, has made an honourable contribution through his study related to the behavior of wind in the Earth’s upper atmosphere.",Science and Tech,"12 Nov, 2021 "
China's 1st woman to spacewalk works 6 hours outside station,Wang Yaping has become the first Chinese woman to conduct a spacewalk as part of a six-month mission to the country's space station.,Science and Tech,"08 Nov, 2021 "
Plenty of pitfalls await Zuckerberg's 'metaverse' plan,"When Mark Zuckerberg announced ambitious plans to build the ""metaverse"" — a virtual reality construct intended to supplant the internet, merge virtual life with real life and create endless new playgrounds for everyone — he promised that ""you're going to able to do almost anything you can imagine.""",Science and Tech,"08 Nov, 2021 "
November to offer beautiful view of visible planets,"For all the night sky lovers, November month will give you plenty of opportunities to watch the visible planets as they appear the sky's dome.",Science and Tech,"03 Nov, 2021 "
"Facebook to shut down face-recognition system, delete data","Facebook said it will shut down its face-recognition system and delete the faceprints of more than 1 billion people amid growing concerns about the technology and its misuse by governments, police and others.",Science and Tech,"03 Nov, 2021 "
Jupiter's huge Great Red Spot storm is much deeper than expected,"Data from NASA's Juno spacecraft is providing a deeper understanding of Jupiter's wondrous and violent atmosphere including its Great Red Spot, finding that this immense swirling storm extends much further down than expected.",Science and Tech,"30 Oct, 2021 "
"In the middle of a crisis, Facebook Inc. renames itself Meta","Like many companies in trouble before it, Facebook is changing its name and logo. Facebook Inc. is now called Meta Platforms Inc., or Meta for short, to reflect what CEO Mark Zuckerberg said Thursday is its commitment to developing the new surround-yourself technology known as the "" metaverse."" But the social network itself will still be called Facebook.",Science and Tech,"29 Oct, 2021 "
Facebook froze as anti-vaccine comments swarmed users,"In March, as claims about the dangers and ineffectiveness of coronavirus vaccines spun across social media and undermined attempts to stop the spread of the virus, some Facebook employees thought they had found a way to help.",Science and Tech,"27 Oct, 2021 "
Facebook profits rise amid revelations from leaked documents,"Amid fallout from the Facebook Papers documents supporting claims that the social network has valued financial success over user safety, Facebook on Monday reported higher profit for the latest quarter.",Science and Tech,"26 Oct, 2021 "
"Facebook plans new group name to revamp image, says The Verge","Facebook Inc, under fire from regulators and lawmakers over its business practices, is planning to rebrand itself with a new group name that focuses on the metaverse, the Verge reported on Tuesday.",Science and Tech,"21 Oct, 2021 "
S Korea prepares test of 1st domestically made space rocket,South Korea was preparing to test-launch its first domestically produced space rocket Thursday in what officials describe as an important step in its pursuit of a satellite launch program.,Science and Tech,"21 Oct, 2021 "
US surgeons successfully test pig kidney transplant in human patient,"For the first time, a pig kidney has been transplanted into a human without triggering immediate rejection by the recipient's immune system, a potentially major advance that could eventually help alleviate a dire shortage of human organs for transplant.",Science and Tech,"20 Oct, 2021 "
Russian filmmakers land after shoot aboard space station,A SoyA Soyuz space capsule carrying a cosmonaut and two Russian filmmakers has landed after a 3 1/2-hour trip from the International Space Station. uz space capsule carrying a cosmonaut and two Russian filmmakers has landed after a 3 1/2-hour trip from the International Space Station.,Science and Tech,"17 Oct, 2021 "
NASA to launch first space probe to study Jupiter's Trojan asteroids,"NASA is set on Saturday to launch a first-of-its kind mission, dubbed Lucy, to study Jupiter's Trojan asteroids, two large clusters of space rocks that scientists believe are remnants of primordial material that formed the solar system's outer planets.",Science and Tech,"16 Oct, 2021 "
Second J&J COVID-19 shot gets expert backing; FDA is looking at lowering age for Pfizer booster,Outside advisers to the U.S. Food and Drug Administration on Friday unanimously recommended the agency authorize a second shot of Johnson & Johnson's COVID-19 vaccine for all recipients of the one-dose inoculation.,Science and Tech,"16 Oct, 2021 "
China launches second crewed mission to build space station,"China on Saturday launched a rocket carrying three astronauts - two men and one woman - to the core module of a future space station where they will live and work for six months, the longest orbit for Chinese astronauts.",Science and Tech,"16 Oct, 2021 "
"Economics Nobel honours 'natural experiments', from minimum wage to migration","Economists David Card, Joshua Angrist and Guido Imbens won the 2021 Nobel economics prize on Monday for pioneering ""natural experiments"" to show real-world economic impacts in areas from minimum wage increases in the U.S. fast-food sector to migration from Castro-era Cuba.",Science and Tech,"12 Oct, 2021 "
Facebook unveils new controls for kids using its platforms,"Facebook, in the aftermath of damning testimony that its platforms harm children, will be introducing several features including prompting teens to take a break using its photo sharing app Instagram, and ""nudging"" teens if they are repeatedly looking at the same content that's not conducive to their well-being.",Science and Tech,"11 Oct, 2021 "
Trio win physics Nobel for work deciphering chaotic climate,"Japanese-born American Syukuro Manabe, German Klaus Hasselmann and Italian Giorgio Parisi won the 2021 Nobel Prize in Physics on Tuesday for work that helps understand complex physical systems such as Earth's changing climate.",Science and Tech,"06 Oct, 2021 "
"Facebook blames ""faulty configuration change"" for nearly six-hour outage","Facebook Inc (FB.O) blamed a ""faulty configuration change"" for a nearly six-hour outage on Monday that prevented the company's 3.5 billion users from accessing its social media and messaging services such as WhatsApp, Instagram and Messenger.",Science and Tech,"05 Oct, 2021 "
Two Americans win Medicine Nobel for work on heat and touch,American scientists David Julius and Ardem Patapoutian won the 2021 Nobel Prize for Medicine on Monday for the discovery of receptors in the skin that sense temperature and touch and could pave the way for new pain-killers.,Science and Tech,"05 Oct, 2021 "
SpaceX capsule with world's first all-civilian orbital crew returns safely,"The quartet of newly minted citizen astronauts comprising the SpaceX Inspiration4 mission safely splashed down in the Atlantic off Florida's coast on Saturday, completing a three-day flight of the first all-civilian crew ever sent into Earth orbit.",Science and Tech,"19 Sep, 2021 "
Tom Cruise gets sneak preview from SpaceX's 1st private crew,Tom Cruise got a sneak preview of what it's like to circle Earth in a SpaceX capsule.,Science and Tech,"18 Sep, 2021 "
Chinese astronauts return after 90 days aboard space station,A trio of Chinese astronauts returned to Earth on Friday after a 90-day stay aboard their nation's first space station in China's longest mission yet.,Science and Tech,"17 Sep, 2021 "
Moroccan cave yields oldest clues about advent of human clothing,"People may take the necessity and existence of clothing for granted, from shirts to pants to dresses, coats, skirts, socks, underwear, bow ties, top hats, togas, kilts and bikinis. But it all had to start somewhere.",Science and Tech,"17 Sep, 2021 "
SpaceX launches 4 amateurs on private Earth-circling trip,"SpaceX's first private flight streaked into orbit Wednesday night with two contest winners, a health care worker and their rich sponsor, the most ambitious leap yet in space tourism.",Science and Tech,"16 Sep, 2021 "
Apple delays iPhone photo-scanning plan amid fierce backlash,Apple is indefinitely delaying plans to scan iPhones in the US for images of child sexual abuse following an outcry from security and privacy experts who warned the technology could be exploited for other surveillance purposes by hackers and intrusive governments.,Science and Tech,"04 Sep, 2021 "
Google self-driving spinoff Waymo begins testing with public in San Francisco,Alphabet's Waymo has started taking a few San Franciscans on rides in its self-driving sport utility vehicles and hopes to open the robotaxis to anyone in the city in less than the three years it took to launch in its only other market.,Science and Tech,"25 Aug, 2021 "
NASA halts SpaceX work on lunar lander after Blue Origin suit,"NASA agreed on Thursday to temporarily halt work on a $2.9 billion lunar lander contract awarded to Elon Musk's SpaceX after rival billionaire businessman Jeff Bezos's Blue Origin sued the U.S government, an agency spokeswoman said.",Science and Tech,"21 Aug, 2021 "
Higher but still slim odds of asteroid Bennu slamming Earth,The good news is that scientists have a better handle on asteroid Bennu’s whereabouts for the next 200 years. The bad news is that the space rock has a slightly greater chance of clobbering Earth than previously thought.,Science and Tech,"12 Aug, 2021 "
"Facebook bans firm behind Pfizer, AstraZeneca smear campaign",Facebook said Tuesday that it has removed hundreds of accounts linked to a mysterious advertising agency operating out of Russia that sought to pay social media influencers to smear COVID-19 vaccines made by Pfizer and AstraZeneca.,Science and Tech,"11 Aug, 2021 "
Space station supplies launched with a pizza delivery for 7,Northrop Grumman's latest space station delivery includes pizza for seven.,Science and Tech,"11 Aug, 2021 "
Hot dates: 2 spacecraft to make Venus flyby,"Two spacecraft are set to swoop past Venus within hours of each other this week, using the maneuver to do a little bit of bonus science on the way to their main missions at the center of our solar system.",Science and Tech,"09 Aug, 2021 "
Want to pretend to live on Mars? For a whole year? Apply now,Want to find your inner Matt Damon and spend a year pretending you are isolated on Mars? NASA has a job for you.,Science and Tech,"07 Aug, 2021 "
Nepal Telecommunication Authority approves trial for 5G service,Nepal Telecommunications Authority (NTA) has endorsed working procedure to use new technology including the trial of 5G -- the fifth-generation mobile network.,Science and Tech,"28 Jul, 2021 "
Jeff Bezos blasts into space on own rocket: 'Best day ever!',"Jeff Bezos blasted into space Tuesday on his rocket company’s first flight with people on board, becoming the second billionaire in just over a week to ride his own spacecraft.",Science and Tech,"21 Jul, 2021 "
"Just 7% of our DNA is unique to modern humans, study shows",What makes humans unique? Scientists have taken another step toward solving an enduring mystery with a new tool that may allow for more precise comparisons between the DNA of modern humans and that of our extinct ancestors.,Science and Tech,"17 Jul, 2021 "
Chinese researchers propose deflecting 'Armageddon' asteroids with rockets,Chinese researchers want to send more than 20 of China's largest rockets to practice turning away a sizable asteroid - a technique that may eventually be crucial if a killer rock is on a collision course with Earth.,Science and Tech,"07 Jul, 2021 "
Can ET see us? Study finds many stars with prime Earth view,"Astronomers took a technique used to look for life on other planets and flipped it around — so instead of looking to see what's out there, they tried to see what places could see us.",Science and Tech,"24 Jun, 2021 "
China plans its first crewed mission to Mars in 2033,"China aims to send its first crewed mission to Mars in 2033, with regular follow-up flights to follow, under a long-term plan to build a permanently inhabited base on the Red Planet and extract its resources.",Science and Tech,"24 Jun, 2021 "
YouTube wins user copyright fight in top EU court ruling,Google's YouTube has scored a win in its latest copyright-infringement challenge after Europe's top court said online platforms are not liable for users uploading unauthorised works unless the platforms failed to take quick action to remove or block access to the content.,Science and Tech,"22 Jun, 2021 "
NASA sends squid from Hawaii into space for research,Dozens of baby squid from Hawaii are in space for study.,Science and Tech,"22 Jun, 2021 "
China launches first crew to live on new space station,"Under bright-blue morning skies, China launched its first crewed space mission in five years Thursday, sending three science-minded military pilots rocketing to a new orbiting station they're expected to reach around midafternoon.",Science and Tech,"17 Jun, 2021 "
China set to send first crew to new space station Thursday,"The three members of the first crew to be sent to China's space station say they're eager to get to work making their home for the next three months habitable, setting up testing and experiments and preparing for a series of spacewalks.",Science and Tech,"16 Jun, 2021 "
"Photos show Chinese rover on dusty, rocky Martian surface","The dusty, rocky Martian surface and a Chinese rover and lander bearing small national flags were seen in photos released Friday that the rover took on the red planet.",Science and Tech,"11 Jun, 2021 "
"Tiny worm comes back to life after 24,000 years in Siberian deep freeze","A microscopic organism has wriggled back to life and reproduced asexually after lying frozen in the vast permafrost lands of northeastern Siberia for 24,000 years.",Science and Tech,"09 Jun, 2021 "
"Spacecraft buzzes Jupiter's mega moon, 1st close-up in years",NASA’s Juno spacecraft has provided the first close-ups of Jupiter’s largest moon in two decades.,Science and Tech,"09 Jun, 2021 "
Way to Digital Nepal needs sufficient budget,Experts complain that the government has not allocated sufficient budget to implement the activities of Digital Nepal.,Science and Tech,"07 Jun, 2021 "
'There is stuff': Enduring mysteries trail US report on UFOs,"The blob, captured on distant, fuzzy video by Navy pilots, seems to skitter just above the ocean waves at improbable speed, with no discernible means of propulsion or lift. “Oh my gosh, man,” one aviator says to another as they laugh at the oddity. “What ... is it?”",Science and Tech,"05 Jun, 2021 "
"Facebook suspends Trump until 2023, shifts rules for world leaders",Facebook Inc (FB.O) on Friday suspended former U.S. President Donald Trump until at least January 2023 and announced changes to how it will treat world leaders who break the rules on its site.,Science and Tech,"05 Jun, 2021 "
NASA picks Venus as hot spot for two new robotic missions,"NASA is returning to sizzling Venus, our closest yet perhaps most overlooked neighbor, after decades of exploring other worlds.",Science and Tech,"03 Jun, 2021 "
China to send 3 male astronauts to its space station in June,"A three-man crew of astronauts will blast off in June for a three-month mission on China's new space station, according to a space official who was the country's first astronaut in orbit.",Science and Tech,"31 May, 2021 "
Chinese cargo spacecraft docks with orbital station,"​​​​​​​An automated spacecraft docked with China's new space station Sunday carrying fuel and supplies for its future crew, the Chinese space agency announced.",Science and Tech,"30 May, 2021 "
NASA releases stunning new pic of Milky Way's 'downtown',"NASA has released a stunning new picture of our galaxy’s violent, super-energized “downtown.”",Science and Tech,"29 May, 2021 "
Navigation error sends NASA's Mars helicopter on wild ride,"A navigation timing error sent NASA's little Mars helicopter on a wild, lurching ride, its first major problem since it took to the Martian skies last month.",Science and Tech,"28 May, 2021 "
"WhatsApp sues Indian government, says not ready to comply with new privacy policy",Facebook-owned messenger WhatsApp has filed a complaint at the Delhi High Court stating that the new rules is a violation of privacy rights.,Science and Tech,"26 May, 2021 "
Lunar Eclipse 2021: The Super Flower  Blood Moon eclipse is coming!,"Of the first of four eclipses of the year 2021, a Total Lunar Eclipse is happening today, which, in our region will only be visible as a Penumbral Lunar Eclipse.",Science and Tech,"26 May, 2021 "
China says Martian rover takes first drive on surface of Red Planet,"A remote-controlled Chinese motorised rover drove down the ramp of a landing capsule on Saturday and onto the surface of the Red Planet, making China the first nation to orbit, land and deploy a land vehicle on its inaugural mission to Mars.",Science and Tech,"22 May, 2021 "
China completes historic Mars spacecraft landing,"An uncrewed Chinese spacecraft successfully landed on the surface of Mars on Saturday, state news agency Xinhua reported, making China the second space-faring nation after the United States to land on the Red Planet.",Science and Tech,"15 May, 2021 "
NASA spacecraft begins 2-year trip home with asteroid rubble,"With rubble from an asteroid tucked inside, a NASA spacecraft fired its engines and began the long journey back to Earth on Monday, leaving the ancient space rock in its rearview mirror.",Science and Tech,"11 May, 2021 "
"Chinese rocket debris lands in Indian Ocean, draws criticism from NASA","Remnants of China's biggest rocket landed in the Indian Ocean on Sunday, with most of its components destroyed upon re-entry into the atmosphere, ending days of speculation over where the debris would hit but drawing US criticism over lack of transparency.",Science and Tech,"09 May, 2021 "
China says its rocket debris unlikely to cause any harm,"​​​​​​​Most debris from a large Chinese rocket expected to plunge back through the atmosphere this weekend will be burned up on reentry and is highly unlikely to cause any harm, Chinese foreign ministry spokesman Wang Wenbin said on Friday.",Science and Tech,"07 May, 2021 "
Main stage of Chinese rocket likely to plunge to Earth soon,The largest section of the rocket that launched the main module of China's first permanent space station into orbit is expected to plunge back to Earth as early as Saturday at an unknown location.,Science and Tech,"06 May, 2021 "
"SpaceX capsule departs station with 4 astronauts, heads home","A SpaceX capsule carrying four astronauts departed the International Space Station late Saturday, aiming for a rare nighttime splashdown to end the company’s second crew flight.",Science and Tech,"02 May, 2021 "
NASA's Mars helicopter Ingenuity shifts into new operational test phase,"After exceeding all expectations with its initial four test flights, the first ever by an aircraft over the surface of another planet, NASA's tiny Mars robot helicopter Ingenuity is ready for graduation.",Science and Tech,"01 May, 2021 "
China launches main part of its 1st permanent space station,"China on Thursday launched the main module of its first permanent space station that will host astronauts long term, the latest success for a program that has realized a number of its growing ambitions in recent years.",Science and Tech,"29 Apr, 2021 "
Astronauts arrive at space station aboard SpaceX Endeavour,"A four-astronaut team arrived at the International Space Station on Saturday aboard the SpaceX Crew Dragon capsule Endeavour, NASA said.",Science and Tech,"24 Apr, 2021 "
China names Mars rover for traditional fire god,"China's first Mars rover will be named Zhurong after a traditional fire god, the government announced Saturday.",Science and Tech,"24 Apr, 2021 "
SpaceX rocketship launches 4 astronauts on NASA mission to space station,"NASA and Elon Musk's commercial rocket company SpaceX launched a new four-astronaut team on a flight to the International Space Station on Friday, the first crew ever propelled into orbit by a rocket booster recycled from a previous spaceflight.",Science and Tech,"23 Apr, 2021 "
